segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.20_bfc-murataetal00_B-avg-wavg_length-result_first,0.7430,0.9020,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.35_bfc-murataetal00_B-avg-wavg_length-result_first,0.7425,0.9017,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.30_bfc-murataetal00_B-avg-wavg_length-result_first,0.7422,0.9014,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.25_bfc-murataetal00_B-avg-wavg_length-result_first,0.7412,0.9000,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.45_bfc-murataetal00_B-avg-wavg_length-result_first,0.7412,0.8998,82.0667
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.15_bfc-murataetal00_B-avg-wavg_length-result_first,0.7407,0.9006,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.40_bfc-murataetal00_B-avg-wavg_length-result_first,0.7406,0.8993,82.0667
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.10_bfc-murataetal00_B-avg-wavg_length-result_first,0.7373,0.8976,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpu_s=0.15_Lpc-murataetal00_B-avg-wavg_length-result_first,0.7372,0.8953,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpu_s=0.25_Lpc-murataetal00_B-avg-wavg_length-result_first,0.7371,0.8957,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.05_bfc-murataetal00_B-avg-wavg_length-result_first,0.7369,0.8970,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpu_s=0.10_Lpc-murataetal00_B-avg-wavg_length-result_first,0.7358,0.8935,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpu_s=0.05_Lpc-murataetal00_B-avg-wavg_length-result_first,0.7358,0.8935,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.50_bfc-murataetal00_B-avg-wavg_length-result_first,0.7355,0.8968,81.0667
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpu_s=0.20_Lpc-murataetal00_B-avg-wavg_length-result_first,0.7355,0.8938,82.4000
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpb_s=0.55_bfc-murataetal00_B-avg-wavg_length-result_first,0.7344,0.8962,80.0667
segmented_aggregation-kolczetal00_firsttwopara-tfidf_Lpu_s=0.35_Lpc-murataetal00_B-avg-wavg_length-result_first,0.7343,0.8952,82.0667
segmented_aggregation-none-bm25_k1=1.20_k3=0_b=0.75-none-max-wavg_koetal04-query_first,0.7328,0.8950,81.9000
segmented_aggregation-none-bm25_k1=1.85_k3=0_b=0.80-none-max-wavg_koetal04-query_first,0.7326,0.8945,81.8333
segmented_aggregation-none-bm25_k1=1.35_k3=0_b=0.75-none-max-wavg_koetal04-query_first,0.7324,0.8943,81.9000
segmented_aggregation-none-bm25_k1=1.30_k3=0_b=0.75-none-max-wavg_koetal04-query_first,0.7324,0.8943,81.9000
segmented_aggregation-none-bm25_k1=1.25_k3=0_b=0.75-none-max-wavg_koetal04-query_first,0.7324,0.8943,81.9000
segmented_aggregation-none-bm25_k1=1.15_k3=0_b=0.80-none-max-wavg_koetal04-query_first,0.7324,0.8943,81.9000
